competition,name,country,position,top1,zone1,top2,zone2,top3,zone3,top4,zone4
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2016 VailWC 10 - 11 Jun,miho nonaka,JPN,4th,1.0,1.0,inf,3.0,inf,inf,inf,inf
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2017 VailWC 9 - 10 Jun,miho nonaka,JPN,3rd,inf,1.0,1.0,1.0,4.0,3.0,2.0,2.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2018 VailWC 8 - 9 Jun,miho nonaka,JPN,2nd,1.0,1.0,2.0,1.0,inf,inf,inf,2.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2018 VailWC 8 - 9 Jun,fanny gibert,FRA,4th,inf,inf,5.0,2.0,inf,inf,inf,inf
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2018 VailWC 8 - 9 Jun,kyra condie,USA,5th,inf,inf,inf,2.0,inf,inf,inf,2.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2019 VailWC 7 - 8 Jun,fanny gibert,FRA,2nd,1.0,1.0,inf,4.0,2.0,2.0,inf,2.0
Boulder IFSC Climbing Worldcup (B) - Vail (USA) 2019 VailWC 7 - 8 Jun,miho nonaka,JPN,3rd,2.0,2.0,3.0,1.0,inf,1.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 Vienna 13 - 14 May,jain kim,KOR,3rd,inf,inf,1.0,1.0,inf,inf,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 Vienna 13 - 14 May,petra klingler,SUI,5th,inf,2.0,inf,1.0,4.0,4.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Wien (AUT) 2010 WC Wien 28 - 30 May,jain kim,KOR,3rd,1.0,1.0,3.0,1.0,inf,inf,inf,inf
"Boulder IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022 11-18 Aug",hannah meul,GER,2nd,2.0,2.0,inf,inf,0.0,1.0,inf,1.0
"Boulder IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022 11-18 Aug",chloe caulier,BEL,4th,inf,3.0,inf,inf,4.0,1.0,inf,3.0
"Boulder IFSC Europe - Continental Championships (B,S,L) - Munich (GER) 2022 11-18 Aug",eliska adamovska,CZE,5th,inf,3.0,inf,inf,4.0,4.0,inf,inf
Boulder IFSC European Cup Chambéry 2023 7-8 Apr,martina buršíková,SVK,2nd,3.0,1.0,inf,6.0,inf,3.0,inf,3.0
Boulder IFSC European Cup Chambéry 2023 7-8 Apr,zélia avezou,FRA,5th,2.0,1.0,inf,2.0,inf,4.0,inf,inf
"Boulder IFSC European Cup Loverval 2023, 27-28th May",martina buršíková,SVK,2nd,2.0,2.0,inf,2.0,4.0,3.0,inf,1.0
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,stasa gejo,SRB,1st,3.0,3.0,inf,4.0,1.0,1.0,1.0,1.0
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,ievgeniia kazbekova,UKR,2nd,1.0,1.0,inf,2.0,1.0,1.0,inf,4.0
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,zélia avezou,FRA,3rd,inf,1.0,1.0,1.0,2.0,2.0,inf,3.0
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,lucia dörffel,GER,4th,2.0,1.0,inf,1.0,1.0,1.0,inf,3.0
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,hannah meul,GER,5th,inf,1.0,inf,3.0,3.0,1.0,inf,4.0
Boulder IFSC Oceania Qualifier Melbourne 2023 24-26 Nov,maya stasiuk,AUS,1st,1.0,1.0,4.0,2.0,inf,1.0,2.0,1.0
Boulder IFSC South American Cup Curitiba 2023 1-3 Dec,valentina aguado,ARG,2nd,1.0,1.0,2.0,1.0,inf,2.0,inf,13.0
Boulder IFSC South American Cup Mar del Plata 2023 15-17 Dec,valentina aguado,ARG,5th,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0
Boulder IFSC World Championships Bern 2023 1-12 Aug,brooke raboutou,USA,2nd,1.0,1.0,inf,7.0,inf,2.0,1.0,1.0
Boulder IFSC World Championships Bern 2023 1-12 Aug,zélia avezou,FRA,3rd,1.0,1.0,7.0,5.0,inf,3.0,inf,1.0
Boulder IFSC World Cup Brixen 2023 9-11 Jun,chaehyun seo,KOR,1st,inf,6.0,1.0,1.0,1.0,1.0,1.0,1.0
Boulder IFSC World Cup Brixen 2023 9-11 Jun,stasa gejo,SRB,2nd,1.0,1.0,inf,1.0,1.0,1.0,3.0,3.0
Boulder IFSC World Cup Brixen 2023 9-11 Jun,ayala kerem,ISR,3rd,5.0,5.0,inf,6.0,4.0,4.0,1.0,1.0
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,brooke raboutou,USA,1st,2.0,2.0,inf,1.0,2.0,1.0,2.0,2.0
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,hannah meul,GER,2nd,1.0,1.0,inf,2.0,inf,5.0,inf,inf
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,ayala kerem,ISR,4th,inf,1.0,inf,4.0,inf,2.0,inf,inf
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,zhilu luo,CHN,5th,inf,1.0,inf,1.0,inf,9.0,inf,inf
Boulder IFSC World Cup Innsbruck 2023 14-18 Jun,miho nonaka,JPN,2nd,1.0,1.0,1.0,1.0,inf,6.0,inf,5.0
Boulder IFSC World Cup Innsbruck 2023 14-18 Jun,brooke raboutou,USA,3rd,3.0,3.0,2.0,2.0,inf,inf,inf,6.0
Boulder IFSC World Cup Innsbruck 2023 14-18 Jun,futaba ito,JPN,5th,inf,1.0,inf,7.0,inf,inf,inf,4.0
Boulder IFSC World Cup Prague 2023 2-4 Jun,miho nonaka,JPN,4th,1.0,1.0,inf,1.0,inf,inf,inf,1.0
Boulder IFSC World Cup Prague 2023 2-4 Jun,stasa gejo,SRB,5th,inf,inf,inf,3.0,inf,inf,inf,5.0
Boulder IFSC World Cup Salt Lake City 2023 19-21 May,brooke raboutou,USA,2nd,inf,7.0,3.0,2.0,inf,inf,1.0,1.0
Boulder IFSC World Cup Salt Lake City 2023 19-21 May,anastasia sanders,USA,3rd,inf,1.0,inf,7.0,6.0,6.0,inf,2.0
Boulder IFSC World Cup Salt Lake City 2023 19-21 May,zhilu luo,CHN,4th,inf,3.0,inf,inf,1.0,1.0,inf,1.0
Boulder IFSC World Cup Salt Lake City 2023 19-21 May,fanny gibert,FRA,5th,inf,4.0,inf,inf,inf,1.0,inf,2.0
Boulder IFSC World Cup Seoul 2023 28-30 Apr,miho nonaka,JPN,1st,9.0,9.0,inf,2.0,11.0,11.0,inf,inf
Boulder IFSC World Cup Seoul 2023 28-30 Apr,brooke raboutou,USA,3rd,8.0,5.0,2.0,2.0,inf,inf,inf,inf
Boulder IFSC World Cup Seoul 2023 28-30 Apr,anastasia sanders,USA,5th,inf,13.0,inf,5.0,inf,inf,5.0,5.0
Boulder International Climbing Series - The internationals of Mayenne (B&L) - Laval (FRA) 2022 21-23 Oct,stasa gejo,SRB,1st,inf,5.0,1.0,1.0,1.0,1.0,1.0,1.0
Boulder International Climbing Series - The internationals of Mayenne (B&L) - Laval (FRA) 2022 21-23 Oct,hélène janicot,FRA,2nd,3.0,3.0,1.0,1.0,inf,1.0,6.0,5.0
Boulder International Climbing Series - The internationals of Mayenne (B&L) - Laval (FRA) 2022 21-23 Oct,zélia avezou,FRA,4th,inf,7.0,inf,1.0,inf,1.0,1.0,1.0
Boulder International Climbing Series - The internationals of Mayenne (B&L) - Laval (FRA) 2022 21-23 Oct,franziska sterrer,AUT,5th,inf,2.0,1.0,1.0,inf,4.0,inf,4.0
Boulder NEOM IFSC Masters 2023 22-24 Nov,camilla moroni,ITA,3rd,inf,3.0,2.0,2.0,inf,3.0,inf,inf
Boulder NEOM IFSC Masters 2023 22-24 Nov,giorgia tesio,ITA,4th,inf,3.0,2.0,2.0,inf,3.0,inf,inf
Boulder Pan American Games Santiago 2023 20-25 Oct,brooke raboutou,USA,2nd,inf,4.0,1.0,1.0,1.0,1.0,inf,4.0
Boulder Pan American Games Santiago 2023 20-25 Oct,alannah yip,CAN,3rd,2.0,2.0,2.0,2.0,inf,1.0,inf,2.0
Boulder Pan American Games Santiago 2023 20-25 Oct,anastasia sanders,USA,4th,inf,6.0,3.0,3.0,inf,4.0,inf,inf
Boulder Pan American Games Santiago 2023 20-25 Oct,valentina aguado,ARG,5th,inf,2.0,1.0,1.0,inf,2.0,inf,inf
"Boulder • Lead IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022 Innsbruck 22 - 26 Jun",miho nonaka,JPN,1st,1.0,1.0,inf,inf,inf,inf,2.0,1.0
"Boulder • Lead IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022 Innsbruck 22 - 26 Jun",futaba ito,JPN,2nd,1.0,1.0,inf,inf,inf,inf,inf,1.0
"Boulder • Lead IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022 Innsbruck 22 - 26 Jun",chaehyun seo,KOR,3rd,1.0,1.0,inf,inf,inf,inf,inf,2.0
"Boulder • Lead IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022 Innsbruck 22 - 26 Jun",hannah meul,GER,5th,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021 Salt Lake City 28 - 30 May",brooke raboutou,USA,1st,2.0,1.0,1.0,1.0,2.0,1.0,inf,5.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021 Salt Lake City 28 - 30 May",stasa gejo,SRB,3rd,6.0,6.0,inf,inf,3.0,2.0,2.0,2.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021 Salt Lake City 28 - 30 May",miho nonaka,JPN,4th,inf,1.0,inf,6.0,4.0,1.0,1.0,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 20 - 22 May",brooke raboutou,USA,1st,inf,10.0,2.0,2.0,2.0,1.0,1.0,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 20 - 22 May",miho nonaka,JPN,2nd,inf,9.0,2.0,2.0,6.0,6.0,1.0,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 20 - 22 May",franziska sterrer,AUT,4th,inf,inf,1.0,1.0,inf,2.0,inf,4.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 20 - 22 May",camilla moroni,ITA,5th,inf,8.0,2.0,2.0,inf,11.0,inf,inf
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 27 - 29 May",miho nonaka,JPN,1st,2.0,2.0,1.0,1.0,2.0,1.0,inf,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 27 - 29 May",brooke raboutou,USA,2nd,1.0,1.0,1.0,1.0,4.0,1.0,inf,1.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 27 - 29 May",futaba ito,JPN,3rd,6.0,4.0,1.0,1.0,2.0,1.0,inf,3.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 27 - 29 May",chaehyun seo,KOR,4th,1.0,1.0,1.0,1.0,inf,3.0,inf,3.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022 Salt Lake City 27 - 29 May",ayala kerem,ISR,5th,1.0,1.0,2.0,1.0,inf,1.0,inf,5.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022 Seoul 6 - 8 May",brooke raboutou,USA,2nd,inf,inf,3.0,2.0,1.0,1.0,2.0,2.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022 Seoul 6 - 8 May",stasa gejo,SRB,3rd,1.0,1.0,inf,6.0,2.0,1.0,inf,5.0
"Boulder • Speed IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022 Seoul 6 - 8 May",camilla moroni,ITA,4th,inf,inf,6.0,6.0,inf,2.0,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016 ChongqingWC 30 - 1 Apr - May",miho nonaka,JPN,3rd,3.0,3.0,inf,1.0,inf,inf,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012 Chongqing 13 - 14 Apr",jain kim,KOR,3rd,inf,1.0,2.0,2.0,inf,inf,inf,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015 Chongqing 20 - 21 Jun",miho nonaka,JPN,1st,3.0,1.0,1.0,1.0,inf,1.0,1.0,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015 Chongqing 20 - 21 Jun",sol sa,KOR,5th,inf,2.0,inf,1.0,6.0,2.0,4.0,4.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017 ChongqingWC 22 - 23 Apr",alannah yip,CAN,4th,inf,2.0,inf,5.0,3.0,1.0,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017 ChongqingWC 22 - 23 Apr",stasa gejo,SRB,5th,inf,1.0,inf,2.0,4.0,4.0,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018 ChongqingWC 5 - 6 May",miho nonaka,JPN,1st,2.0,2.0,inf,inf,2.0,2.0,3.0,3.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018 ChongqingWC 5 - 6 May",stasa gejo,SRB,2nd,inf,inf,2.0,2.0,inf,2.0,inf,3.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019 ChongqingWC 26 - 28 Apr",petra klingler,SUI,2nd,inf,1.0,inf,inf,2.0,2.0,inf,5.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2019 ChongqingWC 26 - 28 Apr",futaba ito,JPN,3rd,1.0,1.0,inf,3.0,inf,inf,inf,inf
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011 Milano 14 - 17 Apr",jain kim,KOR,1st,1.0,1.0,inf,inf,2.0,2.0,2.0,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010 WC Moscow 17 - 21 Jun",jain kim,KOR,3rd,inf,2.0,1.0,1.0,inf,inf,3.0,3.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 MoscowWC 21 - 22 Apr",petra klingler,SUI,2nd,3.0,2.0,5.0,5.0,1.0,1.0,inf,2.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 MoscowWC 21 - 22 Apr",fanny gibert,FRA,3rd,inf,1.0,inf,inf,1.0,1.0,1.0,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 MoscowWC 12 - 14 Apr",lucka rakovec,SLO,1st,inf,2.0,1.0,1.0,1.0,1.0,1.0,1.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 MoscowWC 12 - 14 Apr",futaba ito,JPN,3rd,2.0,2.0,1.0,1.0,inf,inf,3.0,3.0
"Boulder • Speed IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2019 MoscowWC 12 - 14 Apr",fanny gibert,FRA,5th,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
